nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,1.2548,0.0361
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.6355,0.0481
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,1.0895,0.0379
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.6913,0.0981
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.3813,0.023
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,2.0054,0.0919
0.033,0.0204,0.026,0.75,0.3,3.0,0.15,0.02,1.2,0.075,4.0,1.3101,0.102
0.099,0.034,0.13,0.75,0.1,3.0,0.15,0.02,0.4,0.225,4.0,1.1922,0.0357
0.033,0.0068,0.026,0.45,0.1,15.0,0.15,0.06,0.4,0.075,20.0,1.3601,0.01
0.099,0.034,0.13,0.15,0.3,3.0,0.15,0.06,1.2,0.225,4.0,1.5152,0.1503
0.165,0.0068,0.078,0.75,0.3,3.0,0.15,0.02,1.2,0.075,20.0,1.6515,0.0123
0.033,0.0204,0.078,0.45,0.1,15.0,0.15,0.02,1.2,0.075,20.0,1.3782,0.0609
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,1.2,0.075,20.0,1.7372,0.0145
0.033,0.0068,0.078,0.45,0.3,15.0,0.15,0.06,1.2,0.075,20.0,0.9725,0.0189
0.033,0.0068,0.026,0.75,0.3,9.0,0.15,0.06,2.0,0.225,20.0,1.3501,0.0429
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.9043,0.0503
0.165,0.034,0.026,0.45,0.5,9.0,0.15,0.1,2.0,0.225,4.0,1.0748,0.0316
0.033,0.034,0.026,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,1.5749,0.0198
0.033,0.0068,0.026,0.45,0.3,15.0,0.15,0.1,2.0,0.225,20.0,1.1257,0.061
0.165,0.0068,0.078,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.4383,0.0929
0.165,0.0068,0.078,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,1.6446,0.0677
0.099,0.034,0.13,0.75,0.3,15.0,0.15,0.06,1.2,0.075,20.0,1.2426,0.0678
0.165,0.0204,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.5097,0.0408
0.099,0.034,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.3809,0.0428
0.165,0.034,0.078,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.7998,0.1492
0.033,0.0204,0.13,0.75,0.3,15.0,0.15,0.1,2.0,0.075,20.0,1.2583,0.0973
0.165,0.034,0.078,0.75,0.3,15.0,0.15,0.02,2.0,0.075,20.0,1.2354,0.0922
0.099,0.034,0.078,0.75,0.3,15.0,0.15,0.06,2.0,0.225,20.0,1.3237,0.1071
0.033,0.0068,0.026,1.5,0.1,9.0,0.15,0.06,4.0,0.075,40.0,2.0125,0.0673
0.165,0.0204,0.078,1.5,0.1,9.0,0.15,0.02,4.0,0.075,40.0,2.0211,0.1715
0.099,0.034,0.026,1.5,0.1,9.0,0.15,0.06,4.0,0.075,40.0,2.0118,0.0334
0.033,0.0068,0.26,1.5,0.1,9.0,0.15,0.02,4.0,0.075,40.0,1.6118,0.0147
0.033,0.034,0.13,1.5,0.3,9.0,0.15,0.02,4.0,0.075,40.0,1.7941,0.1189
0.165,0.0204,0.026,1.5,0.3,9.0,0.15,0.06,4.0,0.075,40.0,1.861,0.2421
0.165,0.0068,0.078,1.5,0.1,9.0,0.15,0.1,4.0,0.075,40.0,1.8965,0.313
0.165,0.0204,0.078,1.5,0.1,9.0,0.15,0.1,4.0,0.075,40.0,2.2083,0.0119
0.099,0.0068,0.026,1.5,0.3,9.0,0.15,0.2,4.0,0.075,40.0,2.1366,0.0849
0.033,0.034,0.026,0.75,0.5,3.0,0.45,0.02,2.0,0.075,4.0,1.6851,0.0298
0.033,0.0204,0.026,0.75,0.3,3.0,0.45,0.02,1.2,0.075,20.0,1.9843,0.1512
0.033,0.0204,0.026,1.5,1.0,9.0,0.15,0.1,4.0,0.075,40.0,0.7243,0.1188
