nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,4100,4281,4355,O19,O20,O21,4245.3,107.1,-0.0029,0.0143,spectinomycin
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,4138,3612,5051,A6,A12,A18,4267,594.5,0,0.0795,spectinomycin
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,4761,4859,4481,A7,A13,A19,4700.3,160.2,0.0579,0.0214,spectinomycin
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,6980,7577,7100,J11,J14,J17,7219,257.8,0.3945,0.0345,spectinomycin
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,7035,7280,7878,I10,I11,I12,7397.7,354.1,0.4184,0.0473,spectinomycin
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,7131,7550,7678,G21,G22,G23,7453,233.6,0.4258,0.0312,spectinomycin
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,7736,7419,7460,H17,H18,H19,7538.3,140.8,0.4372,0.0188,spectinomycin
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,7487,7563,7946,K2,K4,K6,7665.3,200.9,0.4542,0.0268,spectinomycin
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,7529,7909,7858,J9,J12,J15,7765.3,168.4,0.4675,0.0225,spectinomycin
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,8348,8222,7736,O16,O17,O18,8102,263.9,0.5125,0.0353,spectinomycin
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,8324,8367,7643,F16,F17,F18,8111.3,331.6,0.5138,0.0443,spectinomycin
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,9731,8895,7458,A5,A11,A17,8694.7,938.7,0.5917,0.1255,spectinomycin
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,8688,8830,8937,B11,B12,B13,8818.3,102,0.6083,0.0136,spectinomycin
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,4,10,8844,8880,8886,C13,C14,C15,8870,18.5,0.6152,0.0025,spectinomycin
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,9839,9439,9341,J21,J22,J23,9539.7,215.4,0.7047,0.0288,spectinomycin
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,4,10,10238,9700,9464,B5,B6,B7,9800.7,323.9,0.7396,0.0433,spectinomycin
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,8169,10904,11329,A3,A9,A15,10134,1400.3,0.7841,0.1871,spectinomycin
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,9846,10807,10069,A4,A10,A16,10240.7,410.7,0.7984,0.0549,spectinomycin
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,10209,10557,10025,J18,J19,J20,10263.7,220.6,0.8014,0.0295,spectinomycin
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,10814,10228,10559,G7,G9,G11,10533.7,239.9,0.8375,0.0321,spectinomycin
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,10401,11155,11808,P4,P11,P18,11121.3,574.9,0.9161,0.0768,spectinomycin
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,10000,11503,12063,A2,A8,A14,11188.7,871.1,0.9251,0.1164,spectinomycin
0.033,0.0068,50,0.026,10,2,0.45,0.3,15,0.15,0.1,2,50,0.225,20,10,11706,11848,10022,C17,C19,C21,11192,829.3,0.9255,0.1108,spectinomycin
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,12968,10061,11126,P2,P9,P16,11385,1200.8,0.9513,0.1605,spectinomycin
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,4,10,11356,11813,11110,B2,B3,B4,11426.3,291.3,0.9568,0.0389,spectinomycin
0.033,0.0068,50,0.078,10,2,0.45,0.3,15,0.15,0.06,1.2,50,0.075,20,10,10921,12364,11545,B23,C2,C3,11610,590.9,0.9814,0.079,spectinomycin
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,12370,11746,11132,P3,P10,P17,11749.3,505.4,1,0.0675,spectinomycin
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,12248,12044,11408,F19,F20,F21,11900,357.7,1.0201,0.0478,spectinomycin
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,13327,9778,12860,P5,P12,P19,11988.3,1574.5,1.0319,0.2104,spectinomycin
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,20,10,12867,12269,11808,D6,D7,D8,12314.7,433.5,1.0756,0.0579,spectinomycin
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,20,10,12888,12682,11781,D19,D21,D23,12450.3,480.7,1.0937,0.0642,spectinomycin
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,12590,12514,12324,D9,D12,D15,12476,111.9,1.0971,0.015,spectinomycin
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,12602,12680,12212,N20,N22,O2,12498,204.7,1.1001,0.0274,spectinomycin
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,13331,12993,11301,K8,K9,K10,12541.7,888.1,1.1059,0.1187,spectinomycin
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,12894,12154,12722,G12,G13,G14,12590,316.2,1.1124,0.0423,spectinomycin
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,12613,12612,12792,I13,I14,I15,12672.3,84.6,1.1234,0.0113,spectinomycin
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,12453,12619,13276,C22,C23,D2,12782.7,355.4,1.1381,0.0475,spectinomycin
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,13005,12428,12979,H21,I3,I7,12804,266.1,1.141,0.0356,spectinomycin
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,20,10,12479,13160,13022,B17,B18,B19,12887,293.9,1.152,0.0393,spectinomycin
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,13282,13060,12503,F22,F23,G2,12948.3,327.7,1.1602,0.0438,spectinomycin
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,12998,13193,12758,H14,H15,H16,12983,177.9,1.1649,0.0238,spectinomycin
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,13364,12894,12695,B8,B9,B10,12984.3,280.5,1.1651,0.0375,spectinomycin
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,12812,13043,13141,N21,N23,O3,12998.7,137.9,1.167,0.0184,spectinomycin
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,20,10,13217,13047,12880,D18,D20,D22,13048,137.6,1.1736,0.0184,spectinomycin
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,12594,12929,13730,F10,F12,F14,13084.3,476.6,1.1784,0.0637,spectinomycin
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,12960,12932,13520,J6,J7,J8,13137.3,270.8,1.1855,0.0362,spectinomycin
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,12973,13397,13072,G3,G4,G5,13147.3,181.1,1.1868,0.0242,spectinomycin
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,13629,13709,12119,N9,N14,N19,13152.3,731.4,1.1875,0.0978,spectinomycin
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,12087,12752,14648,L19,L21,L23,13162.3,1085,1.1888,0.145,spectinomycin
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,12391,13553,13562,H23,I5,I9,13168.7,549.9,1.1897,0.0735,spectinomycin
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,13557,12756,13371,D10,D13,D16,13228,342.3,1.1976,0.0457,spectinomycin
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,12334,12991,14391,B14,B15,B16,13238.7,857.8,1.199,0.1146,spectinomycin
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,12842,12983,13901,H20,I2,I6,13242,469.5,1.1995,0.0628,spectinomycin
