nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.15,0.1,3.0,0.15,0.02,0.4,0.075,4.0,0.9251,0.1164
0.165,0.0068,0.026,0.15,0.1,9.0,0.15,0.02,0.4,0.375,12.0,0.7841,0.1871
0.099,0.0204,0.078,0.15,0.5,3.0,0.45,0.1,1.2,0.225,4.0,0.7984,0.0549
0.033,0.0204,0.078,0.15,0.5,9.0,0.45,0.06,2.0,0.225,12.0,0.5917,0.1255
0.33,0.068,0.26,1.5,1.0,30.0,1.5,0.2,4.0,0.75,40.0,0.0579,0.0214
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.3852,0.0208
0.033,0.0204,0.026,0.75,0.3,3.0,0.15,0.02,1.2,0.075,4.0,0.9568,0.0389
0.099,0.034,0.13,0.75,0.1,3.0,0.15,0.02,0.4,0.225,4.0,0.7396,0.0433
0.033,0.0068,0.026,0.45,0.1,15.0,0.15,0.06,0.4,0.075,20.0,1.1651,0.0375
0.099,0.034,0.13,0.15,0.3,3.0,0.15,0.06,1.2,0.225,4.0,0.6083,0.0136
0.165,0.0068,0.078,0.75,0.3,3.0,0.15,0.02,1.2,0.075,20.0,1.199,0.1146
0.033,0.0204,0.078,0.45,0.1,15.0,0.15,0.02,1.2,0.075,20.0,1.152,0.0393
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,1.2,0.075,20.0,1.2269,0.0461
0.033,0.0068,0.078,0.45,0.3,15.0,0.15,0.06,1.2,0.075,20.0,0.9814,0.079
0.033,0.0068,0.026,0.75,0.3,9.0,0.15,0.06,2.0,0.225,20.0,1.3234,0.0664
0.099,0.0068,0.026,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.3652,0.0598
0.165,0.034,0.026,0.45,0.5,9.0,0.15,0.1,2.0,0.225,4.0,0.6152,0.0025
0.033,0.034,0.026,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,1.2151,0.0634
0.033,0.0068,0.026,0.45,0.3,15.0,0.15,0.1,2.0,0.225,20.0,0.9255,0.1108
0.165,0.0068,0.078,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.1381,0.0475
0.165,0.0068,0.078,0.45,0.1,15.0,0.15,0.1,2.0,0.075,20.0,1.2017,0.074
0.099,0.034,0.13,0.75,0.3,15.0,0.15,0.06,1.2,0.075,20.0,1.0756,0.0579
0.165,0.0204,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.0971,0.015
0.099,0.034,0.13,0.75,0.3,9.0,0.15,0.02,2.0,0.225,20.0,1.1976,0.0457
0.165,0.034,0.078,0.75,0.1,9.0,0.15,0.1,2.0,0.075,20.0,1.2178,0.0586
0.033,0.0204,0.13,0.75,0.3,15.0,0.15,0.1,2.0,0.075,20.0,1.1736,0.0184
0.165,0.034,0.078,0.75,0.3,15.0,0.15,0.02,2.0,0.075,20.0,1.0937,0.0642
0.099,0.034,0.078,0.75,0.3,15.0,0.15,0.06,2.0,0.225,20.0,1.2452,0.0501
0.033,0.0068,0.026,1.5,0.1,9.0,0.15,0.06,4.0,0.075,40.0,1.4355,0.0291
0.165,0.0204,0.078,1.5,0.1,9.0,0.15,0.02,4.0,0.075,40.0,1.3032,0.0346
0.099,0.034,0.026,1.5,0.1,9.0,0.15,0.06,4.0,0.075,40.0,1.3663,0.031
0.033,0.0068,0.26,1.5,0.1,9.0,0.15,0.02,4.0,0.075,40.0,1.4439,0.0168
0.033,0.034,0.13,1.5,0.3,9.0,0.15,0.02,4.0,0.075,40.0,1.4728,0.0536
0.165,0.0204,0.026,1.5,0.3,9.0,0.15,0.06,4.0,0.075,40.0,1.4289,0.0359
0.165,0.0068,0.078,1.5,0.1,9.0,0.15,0.1,4.0,0.075,40.0,1.3103,0.1068
0.165,0.0204,0.078,1.5,0.1,9.0,0.15,0.1,4.0,0.075,40.0,1.4328,0.0269
0.099,0.0068,0.026,1.5,0.3,9.0,0.15,0.2,4.0,0.075,40.0,1.483,0.0413
0.033,0.034,0.026,0.75,0.5,3.0,0.45,0.02,2.0,0.075,4.0,1.1784,0.0637
0.033,0.0204,0.026,0.75,0.3,3.0,0.45,0.02,1.2,0.075,20.0,1.3375,0.0269
0.033,0.0204,0.026,1.5,1.0,9.0,0.15,0.1,4.0,0.075,40.0,0.5138,0.0443
0.033,0.034,0.078,0.75,0.5,3.0,0.45,0.1,0.4,0.075,12.0,1.0201,0.0478
0.033,0.034,0.026,0.75,0.1,15.0,0.45,0.02,0.4,0.075,20.0,1.1602,0.0438
0.033,0.0204,0.026,0.75,0.1,15.0,0.45,0.02,1.2,0.075,20.0,1.1868,0.0242
0.165,0.068,0.026,1.5,0.5,9.0,0.15,0.02,4.0,0.225,40.0,1.2891,0.0314
0.165,0.0204,0.078,0.45,0.3,9.0,0.45,0.1,0.4,0.225,12.0,0.8375,0.0321
0.033,0.034,0.026,0.75,0.5,9.0,0.45,0.02,1.2,0.075,20.0,1.1124,0.0423
0.099,0.034,0.026,0.75,0.1,15.0,0.45,0.02,1.2,0.075,20.0,1.2073,0.0532
0.165,0.068,0.026,1.5,0.5,9.0,0.15,0.1,4.0,0.225,40.0,1.2822,0.0404
0.099,0.068,0.026,1.5,1.0,9.0,0.15,0.06,4.0,0.225,40.0,0.4258,0.0312
0.033,0.0068,0.13,0.75,0.1,9.0,0.45,0.1,2.0,0.075,20.0,1.3076,0.0356
0.099,0.0068,0.078,0.75,0.1,9.0,0.45,0.1,2.0,0.075,20.0,1.2773,0.0804
0.165,0.0068,0.13,0.75,0.1,9.0,0.45,0.02,2.0,0.075,20.0,1.2691,0.0587
0.033,0.034,0.078,0.75,0.1,9.0,0.45,0.1,2.0,0.075,20.0,1.296,0.0492
0.099,0.034,0.13,0.75,0.3,9.0,0.45,0.02,2.0,0.075,20.0,1.1649,0.0238
0.165,0.068,0.13,1.5,1.0,9.0,0.15,0.1,4.0,0.075,40.0,0.4372,0.0188
0.099,0.034,0.026,0.75,0.3,15.0,0.45,0.02,2.0,0.225,20.0,1.1995,0.0628
0.099,0.034,0.078,0.75,0.3,15.0,0.45,0.02,2.0,0.075,20.0,1.141,0.0356
0.165,0.034,0.026,0.75,0.1,15.0,0.45,0.06,2.0,0.075,20.0,1.2596,0.1066
0.165,0.0204,0.026,0.75,0.3,15.0,0.45,0.06,2.0,0.075,20.0,1.1897,0.0735
0.33,0.0204,0.078,1.5,1.0,9.0,0.15,0.2,4.0,0.075,40.0,0.4184,0.0473
0.033,0.034,0.026,0.75,0.3,15.0,0.45,0.1,2.0,0.225,20.0,1.1234,0.0113
0.165,0.0068,0.078,1.5,0.1,9.0,0.45,0.02,4.0,0.075,40.0,1.4923,0.0045
0.033,0.0204,0.026,1.5,0.3,9.0,0.45,0.1,4.0,0.075,40.0,1.3911,0.0683
0.033,0.034,0.078,1.5,0.1,9.0,0.45,0.02,4.0,0.225,40.0,1.4038,0.044
0.033,0.0204,0.026,0.75,0.5,3.0,0.75,0.02,2.0,0.075,4.0,1.2252,0.0179
0.033,0.0204,0.078,1.5,0.5,9.0,0.45,0.1,4.0,0.075,40.0,1.1855,0.0362
0.033,0.0068,0.078,1.5,1.0,9.0,0.45,0.06,4.0,0.075,40.0,0.4675,0.0225
0.33,0.0068,0.026,1.5,0.1,9.0,0.45,0.1,4.0,0.075,40.0,1.4624,0.0134
0.033,0.0068,0.026,1.5,1.0,9.0,0.45,0.1,4.0,0.075,40.0,0.3945,0.0345
0.033,0.0204,0.026,0.75,0.5,3.0,0.75,0.06,0.4,0.075,20.0,0.8014,0.0295
0.099,0.0068,0.026,0.15,0.1,15.0,0.75,0.06,2.0,0.375,4.0,0.7047,0.0288
0.033,0.034,0.078,1.5,1.0,9.0,0.45,0.1,4.0,0.075,40.0,0.4542,0.0268
0.165,0.068,0.13,1.5,0.1,9.0,0.45,0.06,4.0,0.075,40.0,1.2059,0.0169
0.033,0.0204,0.026,0.75,0.5,9.0,0.75,0.02,2.0,0.075,20.0,1.1059,0.1187
0.33,0.068,0.078,1.5,0.3,9.0,0.45,0.06,4.0,0.075,40.0,1.2109,0.0354
0.033,0.0068,0.026,1.5,0.5,9.0,0.75,0.06,4.0,0.075,40.0,1.2387,0.0618
0.165,0.034,0.078,1.5,0.1,9.0,0.75,0.02,4.0,0.075,40.0,1.2274,0.0173
0.033,0.0068,0.078,1.5,0.1,9.0,0.75,0.2,4.0,0.075,40.0,1.3207,0.0522
0.099,0.0204,0.13,1.5,0.1,9.0,0.75,0.02,4.0,0.375,40.0,1.3216,0.0682
0.165,0.0204,0.078,1.5,0.1,9.0,0.75,0.02,4.0,0.375,40.0,1.2818,0.0723
0.099,0.034,0.026,1.5,0.3,9.0,0.75,0.1,4.0,0.075,40.0,1.3506,0.0699
0.099,0.0068,0.078,1.5,0.1,9.0,0.75,0.2,4.0,0.225,40.0,1.3711,0.0877
0.099,0.034,0.026,1.5,0.1,9.0,0.75,0.2,4.0,0.075,40.0,1.3269,0.0457
0.33,0.0068,0.078,1.5,0.1,9.0,0.75,0.1,4.0,0.075,40.0,1.2201,0.1439
0.033,0.0204,0.026,1.5,0.1,9.0,1.5,0.1,2.0,0.075,40.0,1.1888,0.145
0.033,0.034,0.026,1.5,0.1,9.0,1.5,0.06,2.0,0.075,40.0,1.2107,0.1023
0.033,0.034,0.026,1.5,0.1,9.0,1.5,0.02,4.0,0.075,40.0,1.3801,0.0934
0.033,0.0204,0.026,1.5,0.1,9.0,1.5,0.02,4.0,0.225,40.0,1.3953,0.02
0.099,0.0068,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,1.4795,0.0413
0.099,0.0204,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.4252,0.0307
0.165,0.0068,0.026,1.5,0.3,9.0,1.5,0.1,4.0,0.075,40.0,1.22,0.0512
0.033,0.0068,0.026,1.5,0.3,9.0,1.5,0.2,4.0,0.075,40.0,1.3393,0.0299
0.165,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,1.2914,0.0742
0.033,0.0068,0.078,1.5,0.3,9.0,1.5,0.2,4.0,0.075,40.0,1.3196,0.0443
0.165,0.068,0.078,1.5,0.1,9.0,1.5,0.02,4.0,0.075,40.0,1.3462,0.0684
0.033,0.068,0.13,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.5488,0.0093
0.099,0.0204,0.078,1.5,0.1,9.0,1.5,0.2,4.0,0.075,40.0,1.4119,0.0388
0.033,0.0068,0.078,1.5,0.1,9.0,1.5,0.2,4.0,0.375,40.0,1.4894,0.1008
0.33,0.0068,0.078,1.5,0.1,9.0,1.5,0.02,4.0,0.375,40.0,1.1875,0.0978
0.33,0.0068,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.225,40.0,1.1001,0.0274
0.33,0.034,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.167,0.0184
0.165,0.034,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.375,40.0,1.2229,0.1173
0.165,0.068,0.078,1.5,0.3,9.0,1.5,0.06,4.0,0.075,40.0,1.2574,0.0396
0.099,0.068,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.225,40.0,1.4385,0.0569
0.33,0.0204,0.026,1.5,0.1,9.0,1.5,0.2,4.0,0.375,40.0,1.3777,0.0593
0.33,0.068,0.26,1.5,0.1,30.0,1.5,0.2,4.0,0.75,40.0,0.5125,0.0353
0.33,0.068,0.26,0.45,1.0,30.0,1.5,0.2,4.0,0.75,40.0,-0.0029,0.0143
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.9513,0.1605
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,1.0,0.0675
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.9161,0.0768
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,1.0319,0.2104
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.3825,0.095
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,1.3982,0.086
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.4431,0.1326
