name,Time_1,Time_2,Time_3,Time_4,Time_5
A2,10991,10479,10329,10217,10000
A3,8940,8635,8457,8327,8169
A4,9148,9184,9987,9937,9846
A5,9300,10072,9945,9827,9731
A6,3778,4160,4154,4156,4138
A7,4162,4789,4775,4785,4761
A8,12339,12039,11793,11660,11503
A9,11089,11325,11167,11049,10904
A10,13585,12273,12081,10978,10807
A11,9137,9371,9176,9060,8895
A12,3431,3647,3629,3622,3612
A13,4284,4904,4881,4883,4859
A14,13905,13465,13290,13198,12063
A15,11625,11650,11567,11459,11329
A16,14457,14317,10279,10139,10069
A17,8019,7836,7702,7602,7458
A18,4469,5117,5101,5089,5051
A19,4082,4475,4500,4467,4481
A20,472,471,469,471,473
A21,463,454,456,457,458
A22,509,511,507,509,508
A23,471,468,475,470,473
A24,459,459,458,458,462
B2,11195,11875,11696,11604,11356
B3,11634,11362,11173,11998,11813
B4,11854,11571,11342,11275,11110
B5,11068,10692,10540,10354,10238
B6,10461,17162,16965,9870,9700
B7,10538,10133,9889,9712,9464
B8,13675,13861,13777,13576,13364
B9,13155,13385,13220,13087,12894
B10,13147,12998,12860,12832,12695
B11,8385,8163,8005,8852,8688
B12,9442,9158,9018,8954,8830
B13,8401,8282,8065,8000,8937
B14,13070,12853,12660,12521,12334
B15,13576,13456,13257,13140,12991
B16,14872,14801,14654,14540,14391
B17,12799,12845,12709,12620,12479
B18,13433,13503,13415,13279,13160
B19,13253,13348,13215,13098,13022
B20,13566,13457,13305,13181,13038
B21,13944,13940,13701,13601,13421
B22,14247,14306,14154,14042,13882
B23,11073,11254,11095,11028,10921
B24,480,476,477,478,476
C2,12924,12796,12660,12577,12364
C3,12024,11949,11834,11699,11545
C4,15652,15539,15371,15169,14872
C5,15521,15507,15406,15253,15051
C6,14505,14348,14184,14093,13957
C7,14376,14269,14102,13974,13815
C8,14941,14896,14784,14651,14437
C9,15054,14846,14707,14567,14414
C10,14556,14404,14244,14057,13821
C11,15474,15223,15037,14866,14714
C12,15118,15256,15044,14953,14767
C13,9569,9219,9088,8958,8844
C14,9524,9288,9170,9010,8880
C15,9522,9288,9167,9002,8886
C16,14185,14052,13954,13851,13638
C17,12199,12094,11953,11880,11706
C18,14137,14081,13921,13838,13747
C19,12267,12187,12098,11843,11848
C20,13195,13013,13009,12864,12691
C21,10394,10336,10232,10193,10022
C22,13084,12953,12761,12607,12453
C23,13138,13045,12939,12828,12619
C24,477,473,477,476,476
D2,14101,13819,13678,13511,13276
D3,13034,12867,12745,12653,12486
D4,14245,14154,14049,13898,13757
D5,13922,13865,13782,13644,13532
D6,13622,13409,13170,13053,12867
D7,12881,12707,12541,12408,12269
D8,12402,12196,12114,11876,11808
D9,13353,13094,12958,12779,12590
D10,14301,14243,13976,13786,13557
D11,14552,14418,14259,14120,13935
D12,13196,12912,12794,12684,12514
D13,13314,13158,13038,12938,12756
D14,13977,13740,13664,13450,13339
D15,13073,12801,12677,12476,12324
D16,13991,13874,13736,13594,13371
D17,13504,13399,13187,13008,12863
D18,13809,13715,13536,13381,13217
D19,13534,13414,13255,13076,12888
D20,13629,13477,13256,13161,13047
D21,13188,13011,12873,12781,12682
D22,13339,13219,13089,12987,12880
D23,12362,12211,12128,11926,11781
D24,488,487,483,483,486
E2,14539,14405,14202,13984,13758
E3,14781,14488,14272,14139,13930
E4,13707,13482,13306,13162,13063
E5,16025,15664,15353,15067,14714
E6,17070,16755,16275,15840,15235
E7,16852,16482,15925,15546,15075
E8,15760,15174,14491,14188,13711
E9,16028,15506,15023,14702,14201
E10,16168,15618,15116,14752,14345
E11,16789,15931,15482,15015,14500
E12,15660,15193,14758,14466,13999
E13,16610,16138,15640,15218,14769
E14,16036,15892,15544,15304,14953
E15,15992,15886,15559,15238,15014
E16,16504,16214,15895,15567,15245
E17,16865,16610,16388,16093,15716
E18,16393,16116,15716,15349,14883
E19,15549,15375,15003,14635,14274
E20,16432,16291,15946,15767,15394
E21,16122,15939,15496,15145,14674
E22,14705,14288,13940,13504,13007
E23,16083,15845,15485,15197,14751
E24,487,486,484,483,484
F2,17189,16760,16384,15884,15318
F3,16814,16600,16119,15578,14932
F4,16782,16525,16074,15619,15070
F5,16411,16107,15736,15262,14711
F6,17327,16819,16369,15759,15182
F7,17686,17061,16649,16103,15505
F8,17305,16944,16540,16096,15651
F9,16860,16485,15979,15468,14934
F10,13262,13076,12874,12763,12594
F11,14638,14465,14336,14184,14004
F12,13562,13357,13210,13065,12929
F13,15332,14955,14900,14648,14486
F14,14280,14124,14003,13906,13730
F15,14993,14811,14679,14564,14333
F16,9021,8859,8748,8560,8324
F17,8962,8886,8739,8547,8367
F18,8195,8094,7954,7804,7643
F19,12775,12616,12448,12352,12248
F20,12549,12389,12289,12214,12044
F21,11951,11761,11686,11580,11408
F22,13685,13736,13561,13524,13282
F23,13623,13547,13416,13281,13060
F24,482,480,483,483,484
G2,13138,13010,12920,12721,12503
G3,13545,13405,13290,13069,12973
G4,13844,13881,13758,13539,13397
G5,13665,13590,13461,13329,13072
G6,15578,15348,15022,14518,14055
G7,11506,11323,11176,10969,10814
G8,15677,15382,15073,14579,14101
G9,10826,10672,10549,10366,10228
G10,14991,14808,14368,13951,13581
G11,11263,11075,10918,10698,10559
G12,12424,12260,12157,12037,12894
G13,12731,12608,12462,12299,12154
G14,13264,13153,13018,12849,12722
G15,14239,14233,14153,13979,13836
G16,13659,13572,13479,13299,13184
G17,13294,13221,13099,13054,12882
G18,15083,14786,14568,14167,13722
G19,15487,15229,14896,14674,14280
G20,14895,14693,14395,14090,13580
G21,7537,7502,7370,7290,7131
G22,8009,7948,7837,7665,7550
G23,8216,8185,8023,7876,7678
G24,482,492,489,489,480
H2,14652,14504,14409,14253,14149
H3,14366,14049,13877,13792,13678
H4,14269,14140,14057,13914,13885
H5,14840,14690,14567,14401,14316
H6,15072,15087,14864,14661,14623
H7,14691,14659,14486,14394,14229
H8,14219,14076,13904,13866,13687
H9,13723,13613,13411,13352,13172
H10,13744,13491,13354,13308,13175
H11,14225,14091,13894,13797,13635
H12,14349,14209,14034,13904,13779
H13,15037,14868,14760,14586,14478
H14,13643,13575,13317,13197,12998
H15,13841,13842,13633,13415,13193
H16,13303,13209,13020,12857,12758
