# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.7625,0.0171,0.807015,0.083246
0.165,0.0068,0.078,1.5,0.1,9,0.45,0.02,4,0.075,80,0.9537,0.0328,0.952735,0.054822
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,1.0321,0.0339,1.017728,0.052076
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,0.9482,0.021,0.876381,0.043998
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80,0.9831,0.0146,0.967632,0.035789
0.099,0.0068,0.026,1.5,0.3,9,0.15,0.2,4,0.075,80,1.0162,0.0477,0.964331,0.054009
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,0.917,0.0018,0.94905,0.062413
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.3478,0.0189,0.426194,0.059404
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.1354,0.0098,1.089023,0.074925
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80,0.9738,0.013,1.019204,0.072171
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,0.9223,0.0176,1.040764,0.05433
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,80,0.3073,0.0356,0.349712,0.067683
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,1.1345,0.0103,0.996525,0.108031
0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.0719,0.0658,0.974279,0.068954
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,80,0.2888,0.0198,0.379081,0.075625
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.0799,0.0266,1.055188,0.046051
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,0.7146,0.0255,0.713515,0.062869
0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,80,1.1691,0.0643,1.07885,0.079827
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,1.0492,0.0144,0.96744,0.044102
0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2,0.225,40,0.921,0.0008,0.962222,0.045923
