nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.1287,0.0192
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.7625,0.0171
0.099,0.034,0.13,0.75,0.1,3,0.15,0.02,0.4,0.225,8,0.865,0.0343
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40,0.9752,0.0138
0.099,0.034,0.13,0.15,0.3,3,0.15,0.06,1.2,0.225,8,0.3575,0.0113
0.165,0.0068,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,40,0.8327,0.0061
0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40,1.1112,0.0376
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40,1.1442,0.0165
0.033,0.0068,0.078,0.45,0.3,15,0.15,0.06,1.2,0.075,40,1.1713,0.0543
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40,1.2029,0.0365
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40,1.0995,0.0546
0.165,0.034,0.026,0.45,0.5,9,0.15,0.1,2,0.225,8,0.5693,0.01
0.033,0.034,0.026,0.45,0.1,15,0.15,0.1,2,0.075,40,1.1262,0.0406
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,1.1345,0.0103
0.165,0.0068,0.078,0.75,0.3,9,0.15,0.02,2,0.225,40,1.0143,0.013
0.165,0.0068,0.078,0.45,0.1,15,0.15,0.1,2,0.075,40,1.1463,0.0478
0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.0719,0.0658
0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.1055,0.0057
0.099,0.034,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.2162,0.0229
0.165,0.034,0.078,0.75,0.1,9,0.15,0.1,2,0.075,40,1.135,0.0352
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2,0.075,40,1.2243,0.0344
0.165,0.034,0.078,0.75,0.3,15,0.15,0.02,2,0.075,40,0.9926,0.0176
