nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40,0.5446,0.0324
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,1.177,0.0276
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40,1.1475,0.0206
0.033,0.0068,0.026,1.5,0.1,9,0.15,0.06,4,0.075,80,1.5382,0.0778
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,80,2.0894,0.1209
0.033,0.0068,0.026,1.5,0.5,9,0.75,0.06,4,0.075,80,1.6824,0.0326
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,80,0.1707,0.0291
0.033,0.0068,0.078,0.45,0.3,15,0.15,0.06,1.2,0.075,40,0.8605,0.246
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,2.6437,0.0592
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,2.4178,0.0588
0.033,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80,1.7056,0.0211
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,80,0.2547,0.046
0.033,0.0068,0.13,0.75,0.1,9,0.45,0.1,2,0.075,40,0.9959,0.0567
0.033,0.0068,0.26,1.5,0.1,9,0.15,0.02,4,0.075,80,1.3691,0.0373
0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,40,1.0004,0.0645
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.5005,0.0125
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40,1.2508,0.0327
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,2,0.075,8,0.3417,0.0067
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.06,0.4,0.075,40,0.5179,0.075
0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2,0.075,40,0.9331,0.0314
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,2.3002,0.1086
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80,2.2248,0.012
0.033,0.0204,0.026,1.5,0.3,9,0.45,0.1,4,0.075,80,2.0554,0.0745
0.033,0.0204,0.026,1.5,1,9,0.15,0.1,4,0.075,80,0.1598,0.0333
0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40,0.7816,0.0223
0.033,0.0204,0.078,1.5,0.5,9,0.45,0.1,4,0.075,80,1.7019,0.0357
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2,0.075,40,1.0031,0.0844
0.033,0.034,0.026,0.45,0.1,15,0.15,0.1,2,0.075,40,0.6966,0.0716
0.033,0.034,0.026,0.75,0.1,15,0.45,0.02,0.4,0.075,40,0.5922,0.055
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.2172,0.0124
0.033,0.034,0.026,0.75,0.5,3,0.45,0.02,2,0.075,8,0.4503,0.0111
0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,1.2,0.075,40,1.1328,0.0586
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4297,0.1016
0.033,0.034,0.026,1.5,0.1,9,1.5,0.06,2,0.075,80,2.1601,0.0247
