# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,1.3101,0.102,1.267793,0.112595
0.165,0.0068,0.078,1.5,0.1,9,0.45,0.02,4,0.075,80,2.5029,0.0114,2.412403,0.090097
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,2.9598,0.0442,2.870528,0.127009
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,3.0277,0.0178,2.86523,0.130402
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80,2.9887,0.1319,2.980255,0.075061
0.099,0.0068,0.026,1.5,0.3,9,0.15,0.2,4,0.075,80,2.1366,0.0849,2.062028,0.084973
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,3.004,0.0598,3.065747,0.077791
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,1.0353,0.0319,1.170659,0.136271
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.7138,0.0453,1.700066,0.052658
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80,2.7198,0.0382,2.766185,0.124792
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,2.3208,0.0456,2.470295,0.059431
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,80,0.7375,0.0839,0.859381,0.127354
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,1.1257,0.061,1.103933,0.070965
0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.2426,0.0678,1.125642,0.097422
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,80,0.7615,0.0397,0.966607,0.138674
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.2733,0.0514,1.326274,0.066362
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,1.2848,0.0256,1.199672,0.123872
0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,80,1.7941,0.1189,1.750719,0.073055
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,3.0465,0.0525,2.857195,0.11632
0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2,0.225,40,1.3666,0.0506,1.393854,0.042868
