# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.010781;0.000031;0.001758;3.375000;0.100000;8100.000000;3.375000;0.004000;64.000000;0.042187;512000.000000;2.154000;0.019200;2.152254;0.033314
0.010781;0.000031;0.001758;1.687500;0.100000;8100.000000;0.337500;0.004000;32.000000;0.042187;256000.000000;0.858200;0.035800;1.054164;0.076026
0.017969;0.000157;0.001758;1.012500;0.500000;8100.000000;0.337500;0.004000;32.000000;0.126562;51200.000000;0.338200;0.003000;0.323759;0.063025
0.010781;0.000157;0.001758;1.687500;0.100000;13500.000000;1.012500;0.000800;19.200000;0.042187;256000.000000;1.023100;0.044600;1.018977;0.075877
0.003594;0.000031;0.001758;1.687500;0.300000;8100.000000;0.337500;0.002400;32.000000;0.126562;256000.000000;0.832800;0.027800;0.797693;0.046186
0.003594;0.000031;0.001758;1.012500;0.300000;13500.000000;0.337500;0.004000;32.000000;0.126562;256000.000000;0.708900;0.020100;0.676588;0.066044
0.035937;0.000314;0.005273;3.375000;0.300000;8100.000000;1.012500;0.002400;64.000000;0.042187;512000.000000;1.890500;0.039300;1.732892;0.107480
0.017969;0.000157;0.005273;3.375000;0.100000;8100.000000;3.375000;0.004000;64.000000;0.210938;512000.000000;1.997700;0.024600;1.902788;0.081262
0.003594;0.000157;0.005273;1.687500;0.100000;8100.000000;1.012500;0.004000;32.000000;0.042187;256000.000000;1.123100;0.011800;1.147938;0.045832
0.017969;0.000157;0.001758;3.375000;0.100000;8100.000000;3.375000;0.004000;64.000000;0.042187;512000.000000;2.077400;0.037100;2.147290;0.041657
0.003594;0.000094;0.001758;3.375000;0.100000;8100.000000;3.375000;0.000800;64.000000;0.126562;512000.000000;2.076200;0.030400;2.069820;0.053979
0.010781;0.000094;0.001758;3.375000;0.100000;8100.000000;3.375000;0.002400;64.000000;0.042187;512000.000000;2.107100;0.118200;2.153691;0.033796
0.010781;0.000031;0.005273;1.687500;0.100000;8100.000000;1.012500;0.004000;32.000000;0.042187;256000.000000;1.174000;0.030800;1.123849;0.050297
0.017969;0.000157;0.005273;3.375000;0.100000;8100.000000;1.687500;0.000800;64.000000;0.042187;512000.000000;2.241400;0.002600;2.035570;0.102612
0.017969;0.000094;0.005273;3.375000;0.100000;8100.000000;0.337500;0.004000;64.000000;0.042187;512000.000000;1.668000;0.012900;1.715880;0.084158
0.035937;0.000094;0.005273;3.375000;1.000000;8100.000000;0.337500;0.008000;64.000000;0.042187;512000.000000;0.137400;0.004700;0.173824;0.081326
0.010781;0.000094;0.005273;3.375000;0.100000;8100.000000;3.375000;0.008000;64.000000;0.042187;512000.000000;2.141600;0.038700;2.110016;0.067762
0.003594;0.000031;0.005273;3.375000;0.100000;8100.000000;1.687500;0.008000;64.000000;0.042187;512000.000000;2.001800;0.015300;1.892874;0.073747
0.017969;0.000157;0.005273;1.687500;0.300000;13500.000000;0.337500;0.000800;32.000000;0.042187;256000.000000;0.754300;0.013800;0.799348;0.041148
0.017969;0.000314;0.001758;3.375000;0.500000;8100.000000;0.337500;0.004000;64.000000;0.126562;512000.000000;1.067400;0.036700;1.129727;0.076529
0.010781;0.000157;0.008788;1.687500;0.300000;13500.000000;0.337500;0.002400;19.200000;0.042187;256000.000000;0.672200;0.006900;0.643325;0.078965
0.003594;0.000094;0.001758;1.687500;0.100000;13500.000000;1.012500;0.000800;19.200000;0.042187;256000.000000;0.951000;0.019500;1.013059;0.062661
0.035937;0.000314;0.017576;3.375000;0.100000;27000.000000;3.375000;0.008000;64.000000;0.421875;512000.000000;0.163900;0.002100;0.268145;0.090300
0.010781;0.000157;0.001758;3.375000;0.100000;8100.000000;1.687500;0.008000;64.000000;0.042187;512000.000000;2.014400;0.077500;1.945759;0.054482
0.003594;0.000157;0.005273;3.375000;1.000000;8100.000000;1.012500;0.004000;64.000000;0.042187;512000.000000;0.158800;0.011300;0.296750;0.114728
0.003594;0.000314;0.008788;3.375000;0.100000;8100.000000;3.375000;0.002400;64.000000;0.042187;512000.000000;2.052300;0.054900;2.043124;0.067554
0.035937;0.000314;0.017576;1.012500;1.000000;27000.000000;3.375000;0.008000;64.000000;0.421875;512000.000000;0.000000;0.002300;-0.062537;0.073121
0.010781;0.000157;0.008788;1.687500;0.100000;2700.000000;0.337500;0.000800;6.400000;0.126562;51200.000000;0.490900;0.011800;0.540263;0.107606
0.003594;0.000094;0.001758;3.375000;1.000000;8100.000000;0.337500;0.004000;64.000000;0.042187;512000.000000;0.126600;0.001900;0.212412;0.099658
0.003594;0.000157;0.001758;1.687500;0.300000;13500.000000;1.012500;0.004000;32.000000;0.126562;256000.000000;0.945600;0.033600;0.832505;0.065149
0.017969;0.000314;0.005273;3.375000;0.300000;8100.000000;3.375000;0.002400;64.000000;0.042187;512000.000000;1.732600;0.041300;1.869955;0.098102
0.010781;0.000157;0.008788;1.687500;0.300000;8100.000000;0.337500;0.000800;32.000000;0.126562;256000.000000;0.831900;0.006200;0.755392;0.046786
