# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8,0.9568,0.0389,0.911602,0.122501
0.165,0.0068,0.078,1.5,0.1,9,0.45,0.02,4,0.075,80,1.4923,0.0045,1.449048,0.083833
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,1.3953,0.02,1.376787,0.049021
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,1.2229,0.1173,1.215394,0.050786
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80,1.4252,0.0307,1.382167,0.047884
0.099,0.0068,0.026,1.5,0.3,9,0.15,0.2,4,0.075,80,1.483,0.0413,1.362874,0.086752
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,1.2914,0.0742,1.351773,0.034304
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.5125,0.0353,0.600601,0.101625
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40,1.296,0.0492,1.221506,0.087728
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80,1.1888,0.145,1.263292,0.085684
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,1.3207,0.0522,1.434763,0.064895
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,80,0.4675,0.0225,0.500213,0.080586
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40,0.9255,0.1108,0.978877,0.061471
0.099,0.034,0.13,0.75,0.3,15,0.15,0.06,1.2,0.075,40,1.0756,0.0579,1.036898,0.068745
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,80,0.3945,0.0345,0.515825,0.093877
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40,1.1234,0.0113,1.105418,0.058382
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,0.8375,0.0321,0.787203,0.094918
0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,80,1.4728,0.0536,1.403774,0.067487
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,1.4894,0.1008,1.333259,0.11642
0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2,0.225,40,1.1995,0.0628,1.098371,0.071717
