nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,std
0.33,0.034,50,0.026,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.225,80.0,10,2.5583,0.4014
0.33,0.068,50,0.026,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.075,24.0,10,2.3236,0.5498
0.33,0.068,50,0.026,10,2,0.75,0.3,9.0,1.5,0.2,2.0,50,0.075,40.0,10,2.0484,0.7018
0.165,0.0068,50,0.26,10,2,0.15,0.1,9.0,1.5,0.02,4.0,50,0.075,80.0,10,2.0477,0.6788
0.165,0.068,50,0.13,10,2,0.15,0.1,9.0,1.5,0.2,2.0,50,0.075,8.0,10,1.8852,0.7933
0.33,0.034,50,0.26,10,2,0.75,0.1,9.0,1.5,0.2,2.0,50,0.075,40.0,10,1.9021,0.7548
0.165,0.034,50,0.26,10,2,0.45,0.1,9.0,1.5,0.2,4.0,50,0.075,80.0,10,2.1469,0.5808
0.33,0.068,50,0.26,10,2,0.15,0.1,9.0,1.5,0.06,4.0,50,0.075,40.0,10,1.8351,0.7782
0.33,0.068,50,0.026,10,2,0.75,0.5,9.0,1.5,0.2,4.0,50,0.225,40.0,10,1.9691,0.6815
0.033,0.0204,50,0.26,10,2,0.45,0.1,9.0,1.5,0.02,4.0,50,0.075,80.0,10,2.0208,0.6364
