nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,std
0.33,0.068,50,0.26,10,2,0.15,0.1,9.0,1.5,0.1,0.4,50,0.075,8.0,10,1.445,0.8995
0.33,0.068,50,0.26,10,2,0.45,0.1,9.0,1.5,0.06,0.4,50,0.075,24.0,10,1.4576,0.8067
0.165,0.068,50,0.13,10,2,0.15,0.1,9.0,1.5,0.2,0.4,50,0.075,24.0,10,1.7745,0.7973
0.165,0.068,50,0.13,10,2,0.15,0.1,9.0,1.5,0.2,2.0,50,0.075,8.0,10,1.8852,0.7933
0.33,0.034,50,0.26,10,2,0.15,0.5,9.0,1.5,0.2,4.0,50,0.225,8.0,10,1.5859,0.793
0.33,0.068,50,0.13,10,2,0.15,0.3,9.0,1.5,0.2,0.4,50,0.225,24.0,10,1.6058,0.7855
0.33,0.068,50,0.26,10,2,0.15,0.1,9.0,1.5,0.06,4.0,50,0.075,40.0,10,1.8351,0.7782
0.33,0.068,50,0.13,10,2,0.45,0.1,9.0,0.75,0.2,4.0,50,0.075,24.0,10,1.7559,0.7695
0.165,0.0204,50,0.26,10,2,0.15,0.1,9.0,1.5,0.2,0.4,50,0.075,8.0,10,1.5699,0.768
0.33,0.034,50,0.26,10,2,0.45,0.5,9.0,1.5,0.2,1.2,50,0.075,8.0,10,1.4605,0.7565
