nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,std
0.33,0.068,50,0.26,10,2,0.15,1.0,9.0,0.75,0.02,2.0,50,0.75,24.0,10,-0.7581,1.0969
0.33,0.068,50,0.26,10,2,0.45,1.0,9.0,1.5,0.02,4.0,50,0.75,80.0,10,-0.2789,1.0708
0.099,0.068,50,0.26,10,2,0.75,1.0,9.0,1.5,0.02,4.0,50,0.75,80.0,10,0.1005,1.064
0.165,0.034,50,0.078,10,2,0.15,1.0,9.0,1.5,0.02,4.0,50,0.75,80.0,10,0.4568,1.0596
0.33,0.068,50,0.26,10,2,0.15,1.0,9.0,0.75,0.06,2.0,50,0.75,24.0,10,-0.7589,1.0525
0.33,0.0204,50,0.26,10,2,0.45,1.0,9.0,0.45,0.02,4.0,50,0.75,80.0,10,-0.0458,1.0507
0.33,0.034,50,0.26,10,2,0.15,1.0,9.0,0.15,0.02,0.4,50,0.75,8.0,10,-0.6809,1.0498
0.33,0.068,50,0.26,10,2,0.45,1.0,9.0,0.15,0.02,0.4,50,0.75,24.0,10,-0.7826,1.047
0.099,0.068,50,0.26,10,2,0.75,1.0,9.0,1.5,0.02,4.0,50,0.75,40.0,10,-0.2391,1.0337
0.165,0.0068,50,0.26,10,2,0.15,1.0,9.0,1.5,0.02,2.0,50,0.75,80.0,10,0.0884,1.031
