nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,std
0.165,0.068,50,0.026,10,2,1.5,0.1,9.0,0.75,0.02,4.0,50,0.075,80.0,10,1.9325,0.1853
0.165,0.034,50,0.026,10,2,1.5,0.1,9.0,1.5,0.06,4.0,50,0.225,80.0,10,2.0732,0.0706
0.099,0.0068,50,0.078,10,2,0.75,0.1,9.0,1.5,0.02,4.0,50,0.225,40.0,10,1.7131,0.321
0.099,0.0204,50,0.026,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.225,80.0,10,2.0775,0.0541
0.033,0.0204,50,0.026,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.225,80.0,10,2.1006,0.0337
0.165,0.0068,50,0.078,10,2,1.5,0.1,9.0,1.5,0.02,4.0,50,0.225,24.0,10,1.8132,0.2358
0.033,0.0068,50,0.026,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.225,80.0,10,2.1051,0.0261
0.165,0.0204,50,0.026,10,2,1.5,0.1,9.0,1.5,0.02,4.0,50,0.375,40.0,10,1.8701,0.192
0.165,0.0068,50,0.078,10,2,1.5,0.1,9.0,1.5,0.02,4.0,50,0.075,8.0,10,1.7577,0.2548
0.033,0.0068,50,0.26,10,2,1.5,0.1,9.0,0.75,0.02,4.0,50,0.375,80.0,10,1.6492,0.3183
