nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,std
0.033,0.0068,50,0.26,10,2,0.75,1.0,9.0,0.45,0.2,4.0,50,0.375,8.0,10,0.1876,0.6968
0.033,0.0068,50,0.13,10,2,1.5,1.0,9.0,0.45,0.1,0.4,50,0.75,8.0,10,0.0481,0.6832
0.033,0.0068,50,0.078,10,2,1.5,1.0,9.0,0.45,0.2,2.0,50,0.75,8.0,10,0.0823,0.683
0.033,0.0068,50,0.13,10,2,0.45,1.0,9.0,0.15,0.2,4.0,50,0.75,8.0,10,0.1278,0.6421
0.033,0.0068,50,0.078,10,2,0.75,1.0,9.0,1.5,0.1,4.0,50,0.75,8.0,10,0.4541,0.6311
0.033,0.0068,50,0.13,10,2,1.5,1.0,9.0,0.15,0.02,0.4,50,0.75,8.0,10,0.0733,0.6273
0.033,0.0068,50,0.13,10,2,0.45,1.0,9.0,0.75,0.2,4.0,50,0.75,8.0,10,0.1867,0.6239
0.033,0.0068,50,0.13,10,2,1.5,1.0,9.0,0.15,0.2,4.0,50,0.075,8.0,10,0.1111,0.6196
0.099,0.0204,50,0.13,10,2,1.5,1.0,9.0,0.75,0.02,4.0,50,0.75,8.0,10,0.5499,0.6117
0.033,0.0204,50,0.13,10,2,1.5,1.0,9.0,0.15,0.2,1.2,50,0.375,8.0,10,0.0317,0.6043
