# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr,plate
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.5006,0.0272,2.523845,0.190945,AB
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.5993,0.0254,2.510781,0.217494,AB
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.5071,0.0429,2.478407,0.087022,AB
0.33,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.4818,0.117,2.473686,0.201891,AB
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,2.5543,0.2144,2.460104,0.198016,AB
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.4912,0.0324,2.403129,0.107984,AB
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.3755,0.0527,2.389789,0.082947,AB
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.5219,0.0544,2.328765,0.199402,AB
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,2.1981,0.0487,2.284076,0.110062,AB
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.5608,0.0445,2.22731,0.145936,AB
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.7213,0.1079,2.527979,0.104777,ORI
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.9779,0.0772,2.486463,0.070169,ORI
0.099,0.034,0.026,1.5,0.1,9,0.75,0.2,4,0.075,80,2.6532,0.1262,2.368594,0.104962,ORI
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.4297,0.1016,2.325691,0.093192,ORI
0.099,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.225,80,2.2318,0.3808,2.307832,0.117447,ORI
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,80,2.0894,0.1209,2.287595,0.131973,ORI
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.1496,0.0646,2.265535,0.225514,ORI
0.033,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80,1.7056,0.0211,2.250117,0.140091,ORI
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.6628,0.0392,2.248375,0.184552,ORI
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,1.9711,0.0225,2.21564,0.129655,ORI
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,2.1036,0.0124,2.096138,0.105567,PS
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.154,0.0192,2.083737,0.090051,PS
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,2.1416,0.0387,2.014591,0.079708,PS
0.099,0.034,0.026,1.5,0.1,9,0.75,0.2,4,0.075,80,2.0144,0.0775,1.936577,0.128419,PS
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.1689,0.0144,1.930445,0.144037,PS
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.0157,0.0531,1.901736,0.159781,PS
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.05,0.0113,1.876586,0.221427,PS
0.165,0.034,0.078,1.5,0.1,9,0.75,0.02,4,0.075,80,2.2414,0.0026,1.86326,0.08994,PS
0.033,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,2.0523,0.0549,1.857884,0.220493,PS
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.0178,0.0978,1.84296,0.162191,PS
