nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta
0.033,0.0068,0.026,0.45,0.1,15,0.15,0.06,0.4,0.075,40
0.033,0.0068,0.026,0.45,0.3,15,0.15,0.1,2,0.225,40
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40
0.033,0.0068,0.026,1.5,0.1,9,0.15,0.06,4,0.075,80
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,80
0.033,0.0068,0.026,1.5,0.5,9,0.75,0.06,4,0.075,80
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,80
0.033,0.0068,0.078,0.45,0.3,15,0.15,0.06,1.2,0.075,40
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80
0.033,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,80
0.033,0.0068,0.13,0.75,0.1,9,0.45,0.1,2,0.075,40
0.033,0.0068,0.26,1.5,0.1,9,0.15,0.02,4,0.075,80
0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,40
0.033,0.0204,0.026,0.75,0.3,3,0.15,0.02,1.2,0.075,8
0.033,0.0204,0.026,0.75,0.3,3,0.45,0.02,1.2,0.075,40
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,2,0.075,8
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.06,0.4,0.075,40
0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2,0.075,40
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80
0.033,0.0204,0.026,1.5,0.3,9,0.45,0.1,4,0.075,80
0.033,0.0204,0.026,1.5,1,9,0.15,0.1,4,0.075,80
0.033,0.0204,0.078,0.45,0.1,15,0.15,0.02,1.2,0.075,40
0.033,0.0204,0.078,1.5,0.5,9,0.45,0.1,4,0.075,80
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2,0.075,40
0.033,0.034,0.026,0.45,0.1,15,0.15,0.1,2,0.075,40
0.033,0.034,0.026,0.75,0.1,15,0.45,0.02,0.4,0.075,40
0.033,0.034,0.026,0.75,0.3,15,0.45,0.1,2,0.225,40
0.033,0.034,0.026,0.75,0.5,3,0.45,0.02,2,0.075,8
0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,1.2,0.075,40
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80
0.033,0.034,0.026,1.5,0.1,9,1.5,0.06,2,0.075,80
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40
0.033,0.034,0.078,0.75,0.5,3,0.45,0.1,0.4,0.075,24
0.033,0.034,0.078,1.5,0.1,9,0.45,0.02,4,0.225,80
0.033,0.034,0.078,1.5,1,9,0.45,0.1,4,0.075,80
0.033,0.034,0.13,1.5,0.3,9,0.15,0.02,4,0.075,80
0.033,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80
0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2,0.375,8
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,40
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,40
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80
0.099,0.0068,0.026,1.5,0.3,9,0.15,0.2,4,0.075,80
0.099,0.0068,0.078,0.75,0.1,9,0.45,0.1,2,0.075,40
0.099,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.225,80
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80
