nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,16423,16750,17074,A2,A8,A14,16749,265.8,0.4382,0.0112,plate_AL_2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,13393,14391,14360,A3,A9,A15,14048,463.3,0.3245,0.0195,plate_AL_2
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,13778,14307,14050,A4,A10,A16,14045,216,0.3244,0.0091,plate_AL_2
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,11825,12927,12301,A5,A11,A17,12351,451.3,0.2532,0.019,plate_AL_2
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,5734,6168,7098,A6,A12,A18,6333.3,569,0,0.0239,plate_AL_2
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,8425,8445,9670,A7,A13,A19,8846.7,582.2,0.1057,0.0245,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,8,10,18651,17994,18049,B2,B3,B4,18231.3,297.6,0.5005,0.0125,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.06,1.2,50,0.075,8,10,17747,18510,18162,B5,B8,B11,18139.7,311.9,0.4967,0.0131,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.1,3,0.15,0.1,1.2,50,0.075,8,10,17468,17806,17772,B6,B9,B12,17682,152,0.4774,0.0064,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.3,3,0.15,0.1,0.4,50,0.075,8,10,17225,17652,17485,B7,B10,B13,17454,175.7,0.4678,0.0074,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.15,0.02,1.2,50,0.075,24,10,22606,23350,23886,B14,B16,B18,23280.7,524.9,0.713,0.0221,plate_AL_2
0.033,0.0068,50,0.026,10,2,0.75,0.5,3,0.15,0.06,0.4,50,0.075,40,10,29095,30406,29671,B15,B17,B19,29724,536.5,0.984,0.0226,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.1,9,0.15,0.02,1.2,50,0.075,24,10,22358,22303,21892,B20,B21,B22,22184.3,207.9,0.6668,0.0087,plate_AL_2
