# nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,y_data,y_data_std,y_pr,y_std_pr
0.165,0.0204,0.078,0.75,0.3,9,0.45,0.02,1.2,0.375,40,0,0.0131,0.745886,0.062951
0.33,0.068,0.26,1.5,1,30,1.5,0.2,0.4,0.75,80,0,0.0095,0.01307,0.067784
0.33,0.068,0.26,0.15,1,30,1.5,0.2,4,0.75,80,0,0.077,-0.074776,0.074503
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,80,0,0.094,-0.041006,0.056891
0.33,0.068,0.26,1.5,1,30,0.15,0.2,4,0.75,80,0.0147,0.0233,0.103289,0.099639
0.165,0.0068,0.13,0.15,0.1,9,0.75,0.1,2,0.225,24,0.0163,0.0113,0.227641,0.059615
0.033,0.0068,0.078,0.45,0.5,3,0.45,0.02,2,0.375,24,0.0222,0.1364,0.330572,0.060532
0.165,0.0068,0.026,0.15,0.1,9,0.15,0.02,0.4,0.375,24,0.0263,0.0091,0.207272,0.060604
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.0354,0.063,0.324515,0.155877
0.033,0.0204,0.026,0.15,0.1,15,0.15,0.02,2,0.225,24,0.047,0.0115,0.326877,0.060559
0.033,0.0068,0.026,0.45,0.5,9,0.45,0.06,2,0.075,24,0.0499,0.0239,0.537282,0.07463
0.33,0.068,0.26,1.5,1,30,1.5,0.2,4,0.75,80,0.0563,0.0191,0.066929,0.039754
0.099,0.0204,0.026,0.15,0.5,9,0.45,0.06,2,0.075,8,0.0587,0.1045,0.290667,0.061669
0.165,0.034,0.026,0.15,0.5,9,0.75,0.06,0.4,0.375,8,0.0826,0.0325,0.177643,0.074159
0.033,0.034,0.078,0.15,0.1,9,0.15,0.02,1.2,0.225,40,0.0845,0.0708,0.403939,0.075883
0.165,0.0204,0.13,0.15,0.5,15,0.75,0.1,0.4,0.075,8,0.086,0.02,0.189657,0.054451
0.099,0.0204,0.13,0.15,0.1,9,0.45,0.02,0.4,0.075,24,0.1032,0.0387,0.267007,0.069161
0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2,0.375,8,0.1106,0.0176,0.14244,0.066138
0.033,0.0068,0.13,0.15,0.3,9,0.15,0.1,2,0.075,40,0.1186,0.071,0.590146,0.095193
0.33,0.068,0.026,1.5,1,30,1.5,0.2,4,0.75,80,0.1503,0.1533,0.191395,0.085462
0.033,0.034,0.026,0.45,0.5,9,0.45,0.06,1.2,0.375,8,0.1625,0.1269,0.345519,0.043447
0.099,0.0068,0.078,0.15,0.3,3,0.45,0.1,0.4,0.375,40,0.1776,0.042,0.365939,0.052243
0.033,0.0204,0.078,0.15,0.5,9,0.45,0.06,2,0.225,24,0.18,0.1263,0.323738,0.067331
0.099,0.0204,0.078,0.15,0.3,15,0.75,0.1,1.2,0.075,24,0.183,0.0286,0.309663,0.062239
0.033,0.0068,0.13,0.45,0.5,3,0.45,0.06,2,0.225,40,0.1956,0.1906,0.455657,0.088979
0.33,0.068,0.26,1.5,1,30,1.5,0.2,4,0.75,8,0.1963,0.012,-0.037312,0.114524
0.099,0.0068,0.13,0.75,0.5,9,0.75,0.02,1.2,0.375,8,0.2025,0.0062,0.246097,0.053439
0.033,0.0068,0.026,0.15,0.1,30,0.15,0.02,0.4,0.075,8,0.2039,0.0083,0.087483,0.082003
0.33,0.068,0.26,1.5,1,30,1.5,0.02,4,0.75,80,0.2066,0.1477,0.179894,0.080592
0.33,0.0068,0.26,1.5,1,30,1.5,0.2,4,0.75,80,0.2159,0.0913,0.113809,0.071355
0.33,0.068,0.26,1.5,1,30,1.5,0.2,4,0.075,80,0.222,0.0529,0.296836,0.128732
0.099,0.0068,0.13,0.75,0.3,9,0.75,0.1,0.4,0.375,8,0.2322,0.0176,0.24062,0.077372
0.165,0.0204,0.026,0.45,0.1,9,0.15,0.1,0.4,0.375,8,0.2418,0.0478,0.202582,0.05532
0.099,0.0204,0.026,0.45,0.1,9,0.45,0.02,0.4,0.075,8,0.2459,0.1262,0.271882,0.051026
0.165,0.034,0.13,0.45,0.1,3,0.75,0.06,1.2,0.375,24,0.25,0.0264,0.296645,0.085593
0.033,0.0204,0.13,0.75,0.5,15,0.45,0.02,0.4,0.225,8,0.2532,0.0505,0.400277,0.046306
0.033,0.0204,0.078,0.45,0.1,9,0.15,0.1,2,0.225,40,0.2605,0.0613,0.695696,0.074532
0.165,0.034,0.13,0.15,0.3,9,0.15,0.06,2,0.075,8,0.2625,0.0092,0.393517,0.076213
0.033,0.034,0.026,0.45,0.3,9,0.45,0.06,1.2,0.075,24,0.2677,0.2052,0.66182,0.059296
0.033,0.0204,0.026,0.45,0.5,9,0.45,0.06,1.2,0.225,24,0.2961,0.1997,0.515664,0.049722
0.033,0.068,0.26,1.5,1,30,1.5,0.2,4,0.75,80,0.3075,0.2236,0.163927,0.060713
0.033,0.0204,0.026,0.75,0.1,15,0.75,0.06,2,0.075,24,0.3126,0.0513,0.671409,0.064563
0.033,0.0068,0.026,0.75,0.5,3,0.75,0.06,1.2,0.075,8,0.3184,0.0252,0.323939,0.045387
0.033,0.0068,0.078,0.45,0.1,9,0.45,0.06,0.4,0.375,8,0.3186,0.0765,0.250649,0.056561
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,0.3448,0.2362,0.387929,0.036265
0.165,0.034,0.078,0.15,0.1,3,0.75,0.1,1.2,0.075,8,0.3501,0.0866,0.275231,0.057708
0.033,0.0204,0.078,0.15,0.3,15,0.45,0.06,1.2,0.375,24,0.3568,0.1317,0.31461,0.038965
0.033,0.0068,0.026,0.15,0.5,15,0.45,0.02,1.2,0.375,8,0.3686,0.2002,0.333352,0.045482
0.033,0.0068,0.026,1.5,0.1,3,0.15,0.02,0.4,0.075,8,0.3701,0.0853,0.412001,0.150609
0.165,0.034,0.026,0.45,0.5,9,0.15,0.1,2,0.225,8,0.3714,0.0154,0.409231,0.041073
0.033,0.034,0.078,0.45,0.5,9,0.15,0.02,2,0.375,8,0.3744,0.0377,0.417318,0.057526
0.033,0.0204,0.026,0.15,0.3,15,0.45,0.02,0.4,0.225,24,0.379,0.2566,0.38834,0.037805
0.33,0.068,0.26,1.5,1,3,1.5,0.2,4,0.75,80,0.3796,0.0297,0.173393,0.069785
0.033,0.0204,0.026,0.45,0.3,15,0.75,0.1,0.4,0.075,8,0.3857,0.0291,0.350878,0.05138
0.33,0.0068,0.026,0.15,0.1,3,0.15,0.02,0.4,0.075,8,0.3981,0.0779,0.294794,0.059784
0.099,0.034,0.078,0.45,0.5,3,0.15,0.06,2,0.225,40,0.4011,0.0096,0.651601,0.070455
0.033,0.034,0.026,0.45,0.5,15,0.45,0.02,0.4,0.225,24,0.4039,0.2491,0.534051,0.042073
0.033,0.0068,0.026,0.45,0.1,3,0.45,0.02,2,0.225,24,0.418,0.0316,0.635596,0.071782
0.033,0.0204,0.026,0.45,0.5,15,0.75,0.1,0.4,0.375,24,0.4406,0.0405,0.380083,0.056955
0.099,0.034,0.026,0.45,0.5,15,0.15,0.02,0.4,0.075,24,0.458,0.076,0.709912,0.042341
0.033,0.0068,0.026,0.15,0.1,3,1.5,0.02,0.4,0.075,8,0.4677,0.0175,0.241465,0.120469
0.033,0.034,0.078,0.75,0.5,3,0.75,0.1,2,0.225,40,0.4824,0.0421,0.600683,0.060959
0.033,0.034,0.078,0.45,0.5,15,0.15,0.06,2,0.075,8,0.485,0.0379,0.497719,0.060665
0.033,0.034,0.026,0.45,0.3,9,0.45,0.02,0.4,0.225,24,0.4907,0.2717,0.521803,0.04696
0.099,0.034,0.13,0.75,0.1,3,0.15,0.02,0.4,0.225,8,0.4984,0.0261,0.378582,0.073531
0.165,0.034,0.13,0.45,0.1,15,0.75,0.02,2,0.075,40,0.4985,0.0168,0.591185,0.066262
0.165,0.0204,0.026,0.45,0.3,3,0.45,0.1,1.2,0.225,40,0.5049,0.2377,0.70212,0.069655
0.033,0.0068,0.026,0.15,1,3,0.15,0.02,0.4,0.075,8,0.5111,0.0894,0.25119,0.131183
0.033,0.034,0.078,0.15,0.5,3,0.75,0.02,2,0.075,8,0.5125,0.0177,0.217564,0.077519
