# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.165000;0.020400;0.078000;0.750000;0.300000;9.000000;0.450000;0.020000;1.200000;0.375000;40.000000;0.000000;0.013100;0.757797;0.073410
0.330000;0.068000;0.260000;1.500000;1.000000;30.000000;1.500000;0.200000;0.400000;0.750000;80.000000;0.000000;0.009500;0.038239;0.076094
0.330000;0.068000;0.260000;0.150000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.000000;0.077000;-0.100690;0.077021
0.330000;0.068000;0.260000;0.450000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.000000;0.094000;-0.060011;0.058503
0.330000;0.068000;0.260000;1.500000;1.000000;30.000000;0.150000;0.200000;4.000000;0.750000;80.000000;0.014700;0.023300;0.125729;0.090770
0.165000;0.006800;0.130000;0.150000;0.100000;9.000000;0.750000;0.100000;2.000000;0.225000;24.000000;0.016300;0.011300;0.201660;0.054619
0.033000;0.006800;0.078000;0.450000;0.500000;3.000000;0.450000;0.020000;2.000000;0.375000;24.000000;0.022200;0.136400;0.331265;0.066085
0.165000;0.006800;0.026000;0.150000;0.100000;9.000000;0.150000;0.020000;0.400000;0.375000;24.000000;0.026300;0.009100;0.223332;0.063731
0.330000;0.068000;0.260000;1.500000;0.100000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.035400;0.063000;0.270201;0.120764
0.033000;0.020400;0.026000;0.150000;0.100000;15.000000;0.150000;0.020000;2.000000;0.225000;24.000000;0.047000;0.011500;0.321948;0.052229
0.033000;0.006800;0.026000;0.450000;0.500000;9.000000;0.450000;0.060000;2.000000;0.075000;24.000000;0.049900;0.023900;0.545308;0.063564
0.330000;0.068000;0.260000;1.500000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.056300;0.019100;0.074480;0.024761
0.099000;0.020400;0.026000;0.150000;0.500000;9.000000;0.450000;0.060000;2.000000;0.075000;8.000000;0.058700;0.104500;0.287066;0.044890
0.165000;0.034000;0.026000;0.150000;0.500000;9.000000;0.750000;0.060000;0.400000;0.375000;8.000000;0.082600;0.032500;0.188479;0.068589
0.033000;0.034000;0.078000;0.150000;0.100000;9.000000;0.150000;0.020000;1.200000;0.225000;40.000000;0.084500;0.070800;0.413596;0.052572
0.165000;0.020400;0.130000;0.150000;0.500000;15.000000;0.750000;0.100000;0.400000;0.075000;8.000000;0.086000;0.020000;0.161567;0.060975
0.099000;0.020400;0.130000;0.150000;0.100000;9.000000;0.450000;0.020000;0.400000;0.075000;24.000000;0.103200;0.038700;0.277826;0.055224
0.099000;0.006800;0.026000;0.150000;0.100000;15.000000;0.750000;0.060000;2.000000;0.375000;8.000000;0.110600;0.017600;0.137880;0.063036
0.033000;0.006800;0.130000;0.150000;0.300000;9.000000;0.150000;0.100000;2.000000;0.075000;40.000000;0.118600;0.071000;0.602473;0.079569
0.330000;0.068000;0.026000;1.500000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.150300;0.153300;0.172964;0.053815
0.033000;0.034000;0.026000;0.450000;0.500000;9.000000;0.450000;0.060000;1.200000;0.375000;8.000000;0.162500;0.126900;0.361221;0.054084
0.099000;0.006800;0.078000;0.150000;0.300000;3.000000;0.450000;0.100000;0.400000;0.375000;40.000000;0.177600;0.042000;0.381715;0.067787
0.033000;0.020400;0.078000;0.150000;0.500000;9.000000;0.450000;0.060000;2.000000;0.225000;24.000000;0.180000;0.126300;0.317874;0.054442
0.099000;0.020400;0.078000;0.150000;0.300000;15.000000;0.750000;0.100000;1.200000;0.075000;24.000000;0.183000;0.028600;0.283292;0.053163
0.033000;0.006800;0.130000;0.450000;0.500000;3.000000;0.450000;0.060000;2.000000;0.225000;40.000000;0.195600;0.190600;0.460528;0.061494
0.330000;0.068000;0.260000;1.500000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;8.000000;0.196300;0.012000;-0.001714;0.113403
0.099000;0.006800;0.130000;0.750000;0.500000;9.000000;0.750000;0.020000;1.200000;0.375000;8.000000;0.202500;0.006200;0.242407;0.044347
0.033000;0.006800;0.026000;0.150000;0.100000;30.000000;0.150000;0.020000;0.400000;0.075000;8.000000;0.203900;0.008300;0.085511;0.072793
0.330000;0.068000;0.260000;1.500000;1.000000;30.000000;1.500000;0.020000;4.000000;0.750000;80.000000;0.206600;0.147700;0.177650;0.038728
0.330000;0.006800;0.260000;1.500000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.215900;0.091300;0.120307;0.068762
0.330000;0.068000;0.260000;1.500000;1.000000;30.000000;1.500000;0.200000;4.000000;0.075000;80.000000;0.222000;0.052900;0.244213;0.071796
0.099000;0.006800;0.130000;0.750000;0.300000;9.000000;0.750000;0.100000;0.400000;0.375000;8.000000;0.232200;0.017600;0.245149;0.052709
0.165000;0.020400;0.026000;0.450000;0.100000;9.000000;0.150000;0.100000;0.400000;0.375000;8.000000;0.241800;0.047800;0.215588;0.043842
0.099000;0.020400;0.026000;0.450000;0.100000;9.000000;0.450000;0.020000;0.400000;0.075000;8.000000;0.245900;0.126200;0.276289;0.049014
0.165000;0.034000;0.130000;0.450000;0.100000;3.000000;0.750000;0.060000;1.200000;0.375000;24.000000;0.250000;0.026400;0.300743;0.059488
0.033000;0.020400;0.130000;0.750000;0.500000;15.000000;0.450000;0.020000;0.400000;0.225000;8.000000;0.253200;0.050500;0.398090;0.048955
0.033000;0.020400;0.078000;0.450000;0.100000;9.000000;0.150000;0.100000;2.000000;0.225000;40.000000;0.260500;0.061300;0.696685;0.066158
0.165000;0.034000;0.130000;0.150000;0.300000;9.000000;0.150000;0.060000;2.000000;0.075000;8.000000;0.262500;0.009200;0.363334;0.053709
0.033000;0.034000;0.026000;0.450000;0.300000;9.000000;0.450000;0.060000;1.200000;0.075000;24.000000;0.267700;0.205200;0.652684;0.046207
0.033000;0.020400;0.026000;0.450000;0.500000;9.000000;0.450000;0.060000;1.200000;0.225000;24.000000;0.296100;0.199700;0.509856;0.035104
0.033000;0.068000;0.260000;1.500000;1.000000;30.000000;1.500000;0.200000;4.000000;0.750000;80.000000;0.307500;0.223600;0.187624;0.069857
0.033000;0.020400;0.026000;0.750000;0.100000;15.000000;0.750000;0.060000;2.000000;0.075000;24.000000;0.312600;0.051300;0.629318;0.055035
0.033000;0.006800;0.026000;0.750000;0.500000;3.000000;0.750000;0.060000;1.200000;0.075000;8.000000;0.318400;0.025200;0.325884;0.041822
0.033000;0.006800;0.078000;0.450000;0.100000;9.000000;0.450000;0.060000;0.400000;0.375000;8.000000;0.318600;0.076500;0.256477;0.058157
0.165000;0.020400;0.078000;0.450000;0.300000;9.000000;0.450000;0.100000;0.400000;0.225000;24.000000;0.344800;0.236200;0.396356;0.031702
0.165000;0.034000;0.078000;0.150000;0.100000;3.000000;0.750000;0.100000;1.200000;0.075000;8.000000;0.350100;0.086600;0.282114;0.062407
