nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,AB,AB_std,OB,OB_std,PS,PS_std,rifaxamin,rifaxamin_std,spectomycin,spectomycin_std,DH5_alpha,DH5_alpha_std,model,model_std,In_20
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,40,0.0417,0.0041,0,0.094,0,0.0023,0,0.0049,0,0.0143,0.1305,0.0063,-0.041006,0.056891,
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,40,0.1614,0.0073,0.0354,0.063,0.1639,0.0021,1.0353,0.0319,0.5125,0.0353,0.3478,0.0189,0.324515,0.155877,yes
0.099,0.068,0.026,1.5,1,9,0.15,0.06,4,0.225,40,0.2123,0.0112,0.107,0.0188,0.0861,0.012,0.6724,0.0796,0.4258,0.0312,0.3532,0.0129,0.229562,0.052193,
0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2,0.375,4,0.9352,0.1622,0.1106,0.0176,0.5585,0.0126,1.2127,0.1134,0.7047,0.0288,0.7,0.0115,0.14244,0.066138,
0.033,0.0204,0.026,1.5,1,9,0.15,0.1,4,0.075,40,0.234,0.0153,0.1598,0.0333,0.1266,0.0019,0.7243,0.1188,0.5138,0.0443,0.3746,0.0145,0.148719,0.038796,
0.033,0.0068,0.026,1.5,1,9,0.45,0.1,4,0.075,40,0.2179,0.0036,0.1707,0.0291,0.0938,0.0205,0.7615,0.0397,0.3945,0.0345,0.2888,0.0198,0.204091,0.037088,yes
0.165,0.068,0.13,1.5,1,9,0.15,0.1,4,0.075,40,0.2301,0.0093,0.2494,0.074,0.1566,0.0067,0.7854,0.0529,0.4372,0.0188,0.4212,0.0114,0.24185,0.044831,
0.33,0.0204,0.078,1.5,1,9,0.15,0.2,4,0.075,40,0.2322,0.0045,0.2546,0.0374,0.1374,0.0047,0.8425,0.0232,0.4184,0.0473,0.3709,0.0097,0.189798,0.05361,
0.033,0.0068,0.078,1.5,1,9,0.45,0.06,4,0.075,40,0.2654,0.0281,0.2547,0.046,0.1158,0.0228,0.7375,0.0839,0.4675,0.0225,0.3073,0.0356,0.208186,0.035989,yes
0.033,0.034,0.078,1.5,1,9,0.45,0.1,4,0.075,40,0.2872,0.0265,0.333,0.0469,0.1588,0.0113,0.7697,0.0749,0.4542,0.0268,0.3104,0.0072,0.233068,0.044603,
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.02,2,0.075,4,0.8257,0.0886,0.3417,0.0067,0.4217,0.0199,1.6767,0.1015,1.2252,0.0179,0.4265,0.0239,0.320432,0.05115,
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,12,1.0786,0.0785,0.3448,0.2362,0.6765,0.006,1.2848,0.0256,0.8375,0.0321,0.7146,0.0255,0.387929,0.036265,yes
0.165,0.034,0.026,0.45,0.5,9,0.15,0.1,2,0.225,4,0.5866,0.0253,0.3714,0.0154,0.3382,0.003,1.0748,0.0316,0.6152,0.0025,0.5693,0.01,0.409231,0.041073,
